days,true_rate
10.60416667,626.4065325
10.625,614.128219
10.64583333,601.5729825
10.66666667,662.138413
10.6875,640.721638
10.70833333,594.5664014
10.72916667,564.0111649
10.75,539.3636207
10.77083333,516.654538
10.79166667,516.1916091
10.8125,510.7440649
10.83333333,508.8965207
10.85416667,498.187438
10.875,482.3091245
10.89583333,453.0388387
10.91666667,427.0989868
10.9375,377.6206733
10.95833333,342.5423598
10.97916667,309.4025079
11,290.0165021
11.02083333,264.3535733
11.04166667,253.1829521
11.0625,240.5354079
11.08333333,235.6417098
11.10416667,238.778781
11.125,235.5466214
11.14583333,238.1298464
11.16666667,247.4515329
11.1875,268.1270656
11.20833333,317.3256752
11.22916667,371.878131
11.25,474.1536637
11.27083333,570.9830425
11.29166667,656.0893445
11.3125,738.7956464
11.33333333,853.2557945
11.35416667,914.3620964
11.375,958.760706
11.39583333,936.6977772
11.41666667,922.7579252
11.4375,905.4026887
11.45833333,858.2320675
11.47916667,820.1076002
11.5,772.3831329
11.52083333,765.1817425
11.54166667,737.2111214
11.5625,704.0712695
11.58333333,690.4753651
11.60416667,680.1355132
11.625,656.8725843
11.64583333,643.1173478
11.66666667,625.2520922
11.6875,616.851441
11.70833333,584.5423583
11.72916667,560.7255833
11.75,524.7241929
11.77083333,507.184341
11.79166667,503.3060275
11.8125,489.3661756
11.83333333,477.6417083
11.85416667,479.3941641
11.875,464.9927737
11.89583333,448.4683064
11.91666667,409.9746083
11.9375,374.9886025
11.95833333,345.7256737
11.97916667,313.6012064
12,296.799816
12.02083333,267.7215025
12.04166667,251.4739583
12.0625,241.1341064
12.08333333,239.5634852
12.10416667,237.2544025
12.125,239.5607044
12.14583333,241.4977756
12.16666667,257.8348468
12.1875,304.2264303
12.20833333,351.0250399
12.22916667,428.285188
12.25,540.8068745
12.27083333,664.9593303
12.29166667,783.3887092
12.3125,887.418088
12.33333333,1005.847467
12.35416667,1065.753769
12.375,1116.89084
12.39583333,1098.981757
12.41666667,1072.303444
12.4375,1043.132823
12.45833333,969.4547825
12.47916667,902.7192551
12.5,830.6212325
12.52083333,811.8813806
12.54166667,781.4184518
12.5625,760.832446
12.58333333,742.5541325
12.60416667,729.998896
12.625,707.9359672
12.64583333,691.5961152
12.66666667,673.1331864
12.6875,642.7625652
12.70833333,597.6227133
12.72916667,566.7905537
12.75,529.3122402
12.77083333,495.5262345
12.79166667,476.1402287
12.8125,462.4772999
12.83333333,456.014371
12.85416667,423.6129806
12.875,413.7346672
12.89583333,400.4409691
12.91666667,367.947271
12.9375,353.730496
12.95833333,320.4983364
12.97916667,309.3277152
13,290.1263249
13.02083333,266.863396
13.04166667,256.1543133
13.0625,248.8606152
13.08333333,241.2899941
13.10416667,240.8769497
13.125,238.7524824
13.14583333,239.1203228
13.16666667,240.5035478
13.1875,249.7329266
13.20833333,267.4546132
13.22916667,294.5813416
13.25,335.5645666
13.27083333,395.8400993
13.29166667,485.0079397
13.3125,567.4373185
13.33333333,663.4359281
13.35416667,741.8037685
13.375,803.648532
13.39583333,813.3394493
13.41666667,823.8611358
13.4375,807.6135916
13.45833333,768.5660474
13.47916667,701.7338878
13.5,660.6555743
13.52083333,629.2695685
13.54166667,607.2066397
13.5625,562.897557
13.58333333,553.2038589
13.60416667,543.2332378
13.625,521.8164628
13.64583333,501.4150724
13.66666667,475.3829128
13.6875,459.596907
13.70833333,466.7852013
13.72916667,449.9838109
13.75,432.6285744
13.77083333,410.4733378
13.79166667,407.610409
13.8125,401.1474801
13.83333333,386.0999359
13.85416667,385.4523917
13.875,378.1586936
13.89583333,362.0957648
13.91666667,348.8943744
13.9375,330.9852917
13.95833333,318.2454398
13.97916667,310.4902032
14,305.581768
14.02083333,291.0272625
14.04166667,284.9579475
14.0625,275.4471232
14.08333333,268.8344121
14.10416667,263.8518896
14.125,264.5750275
14.14583333,262.2189201
14.16666667,263.4854543
14.1875,263.665196
14.20833333,269.5505981
14.22916667,281.3227926
14.25,296.0836663
14.27083333,314.2860495
14.29166667,353.0469233
14.3125,385.3776084
14.33333333,424.6818784
14.35416667,471.8653937
14.375,505.7357014
14.39583333,529.1003487
14.41666667,555.4536753
14.4375,572.2070019
14.45833333,572.5678757
14.47916667,550.4683721
14.5,551.2820761
14.52083333,529.9071008
14.54166667,520.2151444
14.5625,498.4779049
14.58333333,488.9670806
